,Energy Deposited,SiPM Hits,Photons,x_pos,y_pos,z_pos,LCE,log(LCE),Distance
83233,0.47921800000000003,18,3932,0.5532047244094488,-0.5708622047244095,0.6864921259842518,0.004577822990844354,-5.386531723370893,1.0503287880136036
83247,0.465135,5,3761,0.047757874015748034,-0.2033952755905512,5.067212598425197,0.0013294336612603031,-6.623002246036236,5.071517915802141
83251,0.467058,134,3671,-0.18684370078740162,0.31167637795275593,0.8171535433070862,0.03650231544538273,-3.310379583545923,0.8943112693223805
83263,0.47779499999999997,12,3947,0.2470755905511811,-0.1908917322834646,3.760962992125984,0.003040283759817583,-5.795804425874847,3.7739009829408126
83269,0.46620600000000006,2,3731,0.11388228346456693,0.05400433070866142,5.111712598425197,0.0005360493165371214,-7.531284392661212,5.113266209686453
83270,0.47868999999999995,3,3828,-0.12586850393700788,-0.007003188976377953,4.074217322834646,0.0007836990595611285,-7.151485463904735,4.07616716028981
83271,0.47326599999999996,1,3683,-0.1458787401574803,-0.5129606299212599,5.4411929133858274,0.00027151778441487917,-8.211482916445066,5.467265270257087
83275,0.45273500000000005,43,3501,0.36357047244094487,0.08758700787401576,2.3706653543307086,0.01228220508426164,-4.399603805261103,2.39998108213444
83283,0.467247,2,3770,-0.2716043307086614,0.1266003937007874,5.927385826771654,0.0005305039787798408,-7.541683099882111,5.934955712687196
83290,0.563641,97,4468,0.3644106299212599,-0.5277834645669292,1.9436968503937007,0.021709937332139658,-3.8299851816857085,2.0467798950791636
83297,0.557762,1,4355,0.6438622047244095,0.27916417322834647,7.741972440944882,0.0002296211251435132,-8.379079889286603,7.7737139419094206
83298,0.49742200000000003,7,4153,0.5556456692913386,0.3137169291338583,3.021003937007874,0.0016855285335901757,-6.38567609457544,3.0876569124247712
83300,0.454795,1,3587,-0.1313779527559055,0.26835590551181104,5.581208661417323,0.00027878449958182325,-8.185071477532283,5.589200764042489
83305,0.45619,40,3697,-0.08823425196850394,-0.04646535433070867,2.086,0.010819583446037328,-4.526397504822696,2.088382223725705
83324,0.460318,5,3660,-0.18238267716535433,-0.5124094488188977,1.379976377952756,0.001366120218579235,-6.595780513961311,1.4832942013897634
83327,0.47188100000000005,2,3724,0.4535,0.3024929133858268,7.5361574803149605,0.0005370569280343716,-7.529406457837013,7.55584765468149
83330,0.5778340000000001,77,4590,-0.16286771653543308,-0.25488818897637794,1.047814960629921,0.016775599128540306,-4.087829881200907,1.0906007856631164
83331,0.464145,2,3712,-0.2326448818897638,-0.031162480314960637,7.13282283464567,0.0005387931034482759,-7.526178913346146,7.136683846976239
83332,0.46367600000000003,4,3773,0.4179330708661418,-0.46862992125984254,4.956181102362205,0.0010601643254704478,-6.84933135884442,4.995799553048125
83333,0.513243,3,3960,-0.08858661417322836,0.15300944881889766,6.996574803149606,0.0007575757575757576,-7.1853870155804165,6.998808359692848
83342,0.47010799999999997,8,3865,0.5325511811023622,-0.47013385826771653,3.884401181102362,0.002069857697283312,-6.180275419341687,3.9488237667605066
